Rural-UrbanContinuumCode2013,PopulationEstimate2018,PopTotalMale2017,PopTotalFemale2017,FracMale2017,PopulationEstimate65+2017,PopulationDensityperSqMile2010,CensusPopulation2010,MedianAge2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",#HospParticipatinginNetwork2017,#Hospitals,#ICU_beds,dem_to_rep_ratio,PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,SVIPercentile,Spread Factor
2.0,55601.0,27007.0,28497.0,0.4865775439607956,8392.0,91.8,54571.0,37.0,11439.0,8046.0,9.9,204.5,56.1,18.08155718,81.79,324.0,50.0,0.0,1.0,6.0,0.3266563944530046,1866.0,1713.0,2001.0,1990.0,2171.0,2119.0,2213.0,2077.0,1539.0,1541.0,1543.0,1614.0,1594.0,1736.0,3978.0,4265.0,4040.0,4165.0,1524.0,1559.0,1279.0,1498.0,1821.0,2192.0,841.0,1141.0,159.0,392.0,34,19,12,15,18,27,0.4354,2.56932686205541e-06
3.0,218022.0,103225.0,109403.0,0.4854722802264989,42413.0,114.7,182265.0,41.1,54145.0,41590.0,8.5,183.2,41.9,17.489032597,54.28,2101.0,536.0,0.0,3.0,51.0,0.2532552172660291,5614.0,5544.0,5832.0,5767.0,6076.0,5850.0,5930.0,5670.0,4793.0,4656.0,5183.0,5064.0,5317.0,5392.0,11620.0,11933.0,13047.0,13874.0,5943.0,6580.0,5728.0,6284.0,8558.0,9245.0,4379.0,5153.0,1176.0,2057.0,34,19,12,15,18,27,0.2162,6.552418694312632e-07
3.0,114277.0,55149.0,59579.0,0.4806934662854752,19862.0,195.7,118572.0,38.2,28487.0,20142.0,15.6,315.8,44.0,20.612560375,87.32,1694.0,228.0,0.0,2.0,24.0,0.4029210406207212,3705.0,3499.0,3881.0,3640.0,3936.0,3783.0,4343.0,4264.0,4474.0,4548.0,3711.0,3890.0,3517.0,3669.0,7161.0,7466.0,8258.0,8728.0,3858.0,4166.0,3372.0,3713.0,4319.0,5118.0,2174.0,3575.0,467.0,1337.0,34,19,12,15,18,27,0.8252,2.5001906395362644e-06
6.0,33615.0,16140.0,17573.0,0.4787470708628719,6432.0,57.4,34215.0,41.5,9276.0,6342.0,17.5,196.7,45.2,19.392927053,84.0,0.0,28.0,0.0,0.0,0.0,0.7374729057758511,981.0,972.0,1081.0,964.0,1134.0,1103.0,1168.0,1130.0,1003.0,922.0,902.0,985.0,922.0,992.0,2189.0,2243.0,2430.0,2619.0,1165.0,1302.0,1077.0,1225.0,1456.0,1652.0,666.0,1161.0,189.0,582.0,34,19,12,15,18,27,0.7382,1.2749410339771784e-05
4.0,38310.0,18089.0,21126.0,0.4612775723575162,6799.0,44.8,43820.0,37.7,10286.0,6727.0,13.9,308.1,56.2,24.088991006999997,65.59,558.0,85.0,0.0,1.0,18.0,2.2173086888927283,1590.0,1607.0,1605.0,1492.0,1650.0,1621.0,1648.0,1695.0,1235.0,1470.0,1178.0,1436.0,1047.0,1328.0,2233.0,2788.0,2994.0,3520.0,1336.0,1580.0,1228.0,1374.0,1604.0,1926.0,702.0,1220.0,194.0,519.0,34,19,12,15,18,27,0.949,7.457955774322258e-06
6.0,71385.0,35611.0,36006.0,0.4972422748788695,12051.0,91.5,71109.0,37.5,16222.0,11648.0,11.2,279.9,51.1,21.028270793,101.83,476.0,57.0,0.0,1.0,12.0,0.1692128007474889,2555.0,2491.0,2636.0,2563.0,2576.0,2467.0,2558.0,2463.0,2028.0,1855.0,2239.0,2172.0,2292.0,2340.0,4912.0,4746.0,4816.0,4898.0,2162.0,2201.0,2039.0,2225.0,2677.0,3038.0,1318.0,1800.0,305.0,737.0,34,19,12,15,18,27,0.8022,4.002441489308478e-06
3.0,102501.0,49694.0,53061.0,0.4836163690331371,19092.0,195.2,104430.0,40.2,26732.0,18653.0,13.5,292.3,48.0,20.147398601,97.44,2053.0,246.0,0.0,2.0,56.0,0.3227521404506537,3169.0,2971.0,3382.0,3158.0,3555.0,3350.0,3768.0,3456.0,3064.0,3006.0,2965.0,3057.0,2895.0,3129.0,6929.0,7027.0,7261.0,7633.0,3509.0,3748.0,3285.0,3605.0,4120.0,4977.0,2152.0,3323.0,572.0,1364.0,34,19,12,15,18,27,0.6564,0.0
3.0,104722.0,50051.0,54295.0,0.4796638107833554,18143.0,175.1,101547.0,38.5,24638.0,17760.0,11.8,195.6,43.7,19.249782785,66.9,4345.0,407.0,0.0,2.0,66.0,0.3470450403540745,3479.0,3252.0,3670.0,3381.0,3528.0,3408.0,3400.0,3290.0,2855.0,3131.0,3178.0,3401.0,2972.0,3315.0,6371.0,6849.0,7120.0,7641.0,3089.0,3559.0,2880.0,3103.0,3701.0,4467.0,1979.0,2850.0,518.0,1160.0,34,19,12,15,18,27,0.6838,1.364155983051726e-06
6.0,51736.0,25511.0,26398.0,0.4914562022000039,10147.0,49.4,53227.0,41.4,13582.0,10002.0,13.9,284.1,54.4,19.958920884,94.69,454.0,59.0,0.0,1.0,10.0,0.2203095009596929,1535.0,1440.0,1705.0,1628.0,1827.0,1719.0,1846.0,1702.0,1383.0,1335.0,1390.0,1432.0,1520.0,1561.0,3571.0,3508.0,3962.0,4019.0,1829.0,1956.0,1706.0,1880.0,2550.0,2773.0,1084.0,1545.0,231.0,590.0,34,19,12,15,18,27,0.5726,0.0
1.0,659300.0,311830.0,347367.0,0.4730452353393599,101476.0,592.5,658466.0,37.1,136483.0,100601.0,11.7,190.9,59.6,17.622045263,59.24,24703.0,4626.0,3.0,8.0,471.0,1.1640226166449008,22313.0,21584.0,21211.0,20691.0,21719.0,20654.0,22568.0,22094.0,22298.0,24107.0,23224.0,25309.0,21452.0,23312.0,40290.0,43303.0,44905.0,50328.0,20837.0,23865.0,16769.0,19190.0,19317.0,24956.0,11131.0,18496.0,3779.0,8764.0,25,19,12,15,18,27,0.6621,2.166800286017638e-06
3.0,92387.0,44311.0,48227.0,0.4788411247271391,18111.0,138.9,92709.0,40.4,22596.0,17117.0,11.9,219.7,49.9,16.6560043,75.94,1250.0,195.0,0.0,1.0,48.0,0.3567152944549984,2540.0,2618.0,2750.0,2716.0,2867.0,2851.0,3337.0,3362.0,3566.0,3522.0,2669.0,2659.0,2401.0,2495.0,5562.0,5850.0,6298.0,6982.0,3055.0,3240.0,2744.0,3072.0,3926.0,4594.0,2117.0,3043.0,547.0,1326.0,34,19,12,15,18,27,0.4468,0.0
3.0,163941.0,79636.0,81968.0,0.4927848320586124,18611.0,230.9,140247.0,29.5,24613.0,17381.0,9.5,180.2,45.9,17.560140407000002,74.45,2833.0,249.0,0.0,1.0,28.0,0.6132824912615189,4456.0,4231.0,4394.0,4061.0,4495.0,4493.0,6581.0,6604.0,10868.0,10227.0,5430.0,5245.0,4229.0,4443.0,8372.0,8889.0,8389.0,8757.0,3348.0,3776.0,3015.0,3228.0,3514.0,4013.0,1665.0,2227.0,370.0,927.0,34,19,12,15,18,27,0.6602,5.228361771264401e-06
6.0,18439.0,8559.0,10196.0,0.4563583044521461,3634.0,35.2,21452.0,36.3,4867.0,3447.0,21.3,277.1,47.9,21.414696395,45.36,0.0,21.0,0.0,0.0,0.0,5.287211740041927,588.0,581.0,526.0,542.0,607.0,642.0,1086.0,1203.0,1041.0,1409.0,559.0,697.0,488.0,483.0,1020.0,1235.0,1342.0,1498.0,707.0,843.0,637.0,687.0,721.0,939.0,381.0,592.0,123.0,275.0,34,19,12,15,18,27,0.8971,7.747553709916094e-06
